,StationName,Latitude,Longitude,2018-05-26 00:00:00,2018-05-26 04:00:00,2018-05-26 08:00:00,2018-05-26 12:00:00,2018-05-26 16:00:00,2018-05-26 20:00:00,2018-05-27 00:00:00,2018-05-27 04:00:00,2018-05-27 08:00:00,2018-05-27 12:00:00,2018-05-27 16:00:00,2018-05-27 20:00:00,2018-05-28 00:00:00,2018-05-28 04:00:00,2018-05-28 08:00:00,2018-05-28 12:00:00,2018-05-28 16:00:00,2018-05-28 20:00:00,2018-05-29 00:00:00,2018-05-29 04:00:00,2018-05-29 08:00:00,2018-05-29 12:00:00,2018-05-29 16:00:00,2018-05-29 20:00:00,2018-05-30 00:00:00,2018-05-30 04:00:00,2018-05-30 08:00:00,2018-05-30 12:00:00,2018-05-30 16:00:00,2018-05-30 20:00:00,2018-05-31 00:00:00,2018-05-31 04:00:00,2018-05-31 08:00:00,2018-05-31 12:00:00,2018-05-31 16:00:00,2018-05-31 20:00:00,2018-06-01 00:00:00,2018-06-01 04:00:00,2018-06-01 08:00:00,2018-06-01 12:00:00,2018-06-01 16:00:00
0,34 ST-HERALD SQ,40.748897899999996,-73.98878859999998,4478.0,4544.0,18789.0,31464.0,33723.0,18760.0,3470.0,2904.0,12713.0,24218.0,28351.0,15437.0,2431.0,3571.0,16232.0,29770.0,33622.0,15904.0,1878.0,16902.0,59961.0,43866.0,84818.0,26621.0,3583.0,18045.0,60424.0,44640.0,87421.0,29149.0,2835.0,17602.0,60425.0,46167.0,84608.0,26519.0,3047.0,16960.0,58026.0,53292.0,81357.0
1,TIMES SQ-42 ST,40.7545563,-73.98667370000001,8442.0,5481.0,21548.0,34373.0,41557.0,31687.0,8019.0,3373.0,14327.0,28918.0,34257.0,23708.0,5271.0,4342.0,17255.0,27610.0,33272.0,20394.0,3973.0,14247.0,48504.0,34501.0,67157.0,26873.0,4407.0,14482.0,51595.0,38211.0,70349.0,29681.0,4634.0,14609.0,50909.0,23348.0,45747.0,28492.0,4854.0,13528.0,47720.0,41047.0,63656.0
2,34 ST-PENN STA,40.751056,-73.99031020000001,4156.0,6028.0,21449.0,30333.0,31133.0,18174.0,3653.0,3733.0,15386.0,25114.0,26854.0,13974.0,2621.0,4437.0,17757.0,28453.0,32611.0,15715.0,2136.0,25184.0,58960.0,38078.0,77809.0,21084.0,3027.0,26419.0,58686.0,38934.0,77065.0,22187.0,2444.0,25739.0,60091.0,40537.0,78776.0,21047.0,2701.0,19599.0,48900.0,42560.0,59947.0
3,59 ST COLUMBUS,40.7684839,-73.98180699999999,2813.0,3031.0,13789.0,21825.0,23184.0,11985.0,2424.0,2118.0,8713.0,15945.0,17551.0,7822.0,1447.0,2772.0,10523.0,18665.0,20030.0,8124.0,1460.0,10085.0,30934.0,28574.0,42679.0,15467.0,1906.0,10429.0,31265.0,28136.0,45066.0,18498.0,1987.0,10341.0,31724.0,28283.0,42642.0,16725.0,2372.0,9882.0,29529.0,30205.0,39278.0
4,86 ST,40.7795016,-73.95557240000001,1582.0,3358.0,11529.0,17153.0,17215.0,8931.0,1437.0,2146.0,8942.0,16616.0,13569.0,5885.0,1072.0,2754.0,10764.0,17347.0,15538.0,6387.0,825.0,12919.0,30479.0,26271.0,38564.0,12372.0,958.0,13974.0,31280.0,26276.0,39529.0,12925.0,1033.0,13812.0,31439.0,27231.0,38573.0,12162.0,1145.0,12986.0,30264.0,29015.0,37073.0
5,GRD CNTRL-42 ST,40.75216470000001,-73.97715339999998,2622.0,3343.0,15505.0,19427.0,19136.0,11516.0,2298.0,1936.0,11074.0,17187.0,17678.0,8318.0,1576.0,2466.0,12026.0,17888.0,19244.0,9617.0,1101.0,16084.0,43719.0,26392.0,50025.0,12859.0,1939.0,16758.0,43885.0,27326.0,52680.0,15267.0,1949.0,16420.0,44567.0,30326.0,53357.0,14502.0,2127.0,14515.0,40738.0,30311.0,48161.0
6,59 ST,40.6415685,-74.0176783,2381.0,4074.0,12648.0,17645.0,17343.0,9821.0,2097.0,2694.0,7669.0,13340.0,14196.0,6726.0,1454.0,3680.0,10561.0,16735.0,16986.0,7192.0,1239.0,13812.0,33940.0,25333.0,41030.0,12752.0,1385.0,13953.0,34332.0,26563.0,42521.0,12529.0,1376.0,14244.0,34392.0,26725.0,41881.0,12825.0,1647.0,13556.0,32000.0,27507.0,38844.0
7,FLUSHING-MAIN,40.75955820000001,-73.82992209999998,2510.0,6201.0,15635.0,16993.0,17644.0,12017.0,2282.0,3237.0,10496.0,13882.0,14717.0,8929.0,1672.0,5090.0,14068.0,16227.0,17240.0,9970.0,1515.0,17689.0,24192.0,18846.0,30311.0,13555.0,1889.0,17211.0,24702.0,18981.0,30904.0,13693.0,1794.0,17980.0,23707.0,17895.0,29519.0,13611.0,2113.0,16893.0,23322.0,18359.0,30449.0
8,ATL AV-BARCLAY,40.6837598,-73.97875739999998,2215.0,2247.0,8665.0,16065.0,17497.0,10167.0,2296.0,1490.0,5087.0,12421.0,13510.0,6977.0,1369.0,1798.0,6378.0,15157.0,16078.0,7358.0,999.0,8590.0,21148.0,16592.0,27754.0,8693.0,1299.0,9591.0,23655.0,20949.0,27562.0,9300.0,1277.0,10213.0,22417.0,20114.0,27466.0,9439.0,1315.0,8498.0,19461.0,18680.0,28703.0
9,23 ST,40.7413626,-73.9891335,1780.0,1580.0,6817.0,11770.0,11969.0,6306.0,1406.0,1017.0,4485.0,8638.0,9628.0,5258.0,1002.0,1199.0,5086.0,9426.0,10107.0,5140.0,704.0,6533.0,32764.0,24511.0,36988.0,11277.0,1253.0,8341.0,34732.0,26264.0,47473.0,15230.0,1212.0,8722.0,35168.0,27215.0,47432.0,14957.0,1617.0,8069.0,33071.0,29154.0,43937.0
