,StationName,Latitude,Longitude,2018-07-21 00:00:00,2018-07-21 04:00:00,2018-07-21 08:00:00,2018-07-21 12:00:00,2018-07-21 16:00:00,2018-07-21 20:00:00,2018-07-22 00:00:00,2018-07-22 04:00:00,2018-07-22 08:00:00,2018-07-22 12:00:00,2018-07-22 16:00:00,2018-07-22 20:00:00,2018-07-23 00:00:00,2018-07-23 04:00:00,2018-07-23 08:00:00,2018-07-23 12:00:00,2018-07-23 16:00:00,2018-07-23 20:00:00,2018-07-24 00:00:00,2018-07-24 04:00:00,2018-07-24 08:00:00,2018-07-24 12:00:00,2018-07-24 16:00:00,2018-07-24 20:00:00,2018-07-25 00:00:00,2018-07-25 04:00:00,2018-07-25 08:00:00,2018-07-25 12:00:00,2018-07-25 16:00:00,2018-07-25 20:00:00,2018-07-26 00:00:00,2018-07-26 04:00:00,2018-07-26 08:00:00,2018-07-26 12:00:00,2018-07-26 16:00:00,2018-07-26 20:00:00,2018-07-27 00:00:00,2018-07-27 04:00:00,2018-07-27 08:00:00,2018-07-27 12:00:00,2018-07-27 16:00:00
0,34 ST-HERALD SQ,40.748897899999996,-73.98878859999998,6865.0,5255.0,21991.0,35104.0,41058.0,19637.0,3928.0,3354.0,15453.0,28146.0,34214.0,16731.0,2261.0,17651.0,63454.0,41039.0,84420.0,24170.0,2520.0,18614.0,64954.0,45239.0,89825.0,28786.0,3102.0,17903.0,64407.0,42389.0,88917.0,27527.0,2913.0,18176.0,64286.0,46166.0,93094.0,32095.0,3780.0,15995.0,59605.0,58226.0,83765.0
1,TIMES SQ-42 ST,40.7545563,-73.98667370000001,8974.0,5319.0,21358.0,35096.0,44128.0,25735.0,5089.0,3486.0,15666.0,28730.0,35120.0,19606.0,3577.0,13665.0,49206.0,33761.0,68599.0,27145.0,4632.0,14665.0,51859.0,36824.0,73380.0,31608.0,4857.0,13288.0,53809.0,38929.0,75112.0,28590.0,4260.0,14173.0,52806.0,39493.0,74302.0,33756.0,5908.0,13183.0,47382.0,43743.0,64799.0
2,34 ST-PENN STA,40.751056,-73.99031020000001,5506.0,5580.0,17865.0,24052.0,30135.0,16385.0,3384.0,3111.0,14729.0,23528.0,27647.0,13734.0,1916.0,25844.0,62420.0,65792.0,75098.0,17314.0,2220.0,26578.0,62526.0,38069.0,67425.0,20714.0,2598.0,27536.0,64876.0,38358.0,66391.0,19700.0,2611.0,25626.0,63498.0,40852.0,80164.0,24108.0,2969.0,21749.0,56202.0,50223.0,75508.0
3,59 ST COLUMBUS,40.7684839,-73.98180699999999,3045.0,3337.0,13777.0,22558.0,23528.0,9282.0,1959.0,2343.0,10233.0,19146.0,18969.0,8109.0,1163.0,8936.0,30025.0,24618.0,39959.0,12830.0,1673.0,9810.0,32158.0,27425.0,44698.0,16166.0,1935.0,9780.0,31474.0,26363.0,43043.0,15161.0,1882.0,9735.0,31986.0,28996.0,44257.0,18095.0,2531.0,8384.0,27976.0,29599.0,35744.0
4,86 ST,40.7795016,-73.95557240000001,1738.0,3284.0,12997.0,19143.0,19711.0,7198.0,1111.0,2032.0,8874.0,15777.0,14399.0,5637.0,749.0,10175.0,25794.0,21244.0,30981.0,9077.0,913.0,10892.0,26312.0,21844.0,31905.0,10399.0,1126.0,10222.0,26909.0,21923.0,31292.0,8138.0,1104.0,7593.0,25946.0,22010.0,31953.0,11708.0,1300.0,9974.0,24453.0,24262.0,29530.0
5,GRD CNTRL-42 ST,40.75216470000001,-73.97715339999998,3317.0,3492.0,15051.0,21163.0,22594.0,10755.0,2054.0,1905.0,10863.0,17790.0,19639.0,10025.0,1180.0,16166.0,45147.0,25144.0,49955.0,12330.0,1758.0,16604.0,45130.0,26895.0,53567.0,13992.0,1969.0,16174.0,47058.0,27827.0,53413.0,13566.0,1920.0,15973.0,44918.0,29218.0,53250.0,15935.0,2362.0,13695.0,39376.0,33572.0,50579.0
6,59 ST,40.6415685,-74.0176783,2414.0,4713.0,13770.0,19331.0,19361.0,7708.0,1652.0,2849.0,10176.0,15833.0,15520.0,6759.0,1109.0,12039.0,32074.0,22946.0,38443.0,10806.0,1628.0,12926.0,33784.0,24963.0,40617.0,12244.0,1853.0,12172.0,33961.0,23973.0,40333.0,11490.0,1795.0,12921.0,33666.0,26283.0,41734.0,13943.0,2060.0,11799.0,30164.0,27226.0,36315.0
7,FLUSHING-MAIN,40.75955820000001,-73.82992209999998,2497.0,6091.0,15218.0,16713.0,18544.0,11125.0,1696.0,3226.0,12070.0,15130.0,14868.0,8497.0,1625.0,15631.0,22377.0,17112.0,27828.0,12733.0,1827.0,16336.0,24067.0,18089.0,29213.0,13670.0,1833.0,15729.0,23626.0,17379.0,28513.0,12282.0,1722.0,16151.0,24053.0,18032.0,27999.0,14269.0,1896.0,15127.0,23205.0,17866.0,28107.0
8,ATL AV-BARCLAY,40.6837598,-73.97875739999998,2064.0,2156.0,8311.0,14242.0,15968.0,7610.0,1568.0,1319.0,6030.0,12126.0,12690.0,5735.0,763.0,7840.0,19249.0,13776.0,25407.0,7530.0,976.0,8313.0,19780.0,14499.0,25809.0,8905.0,1040.0,8017.0,19274.0,13964.0,25569.0,8426.0,1138.0,8148.0,19574.0,14931.0,26409.0,9764.0,1369.0,7298.0,17723.0,17541.0,28333.0
9,23 ST,40.7413626,-73.9891335,1828.0,1726.0,7603.0,12413.0,13150.0,6304.0,1183.0,1070.0,5128.0,10059.0,10685.0,4573.0,567.0,4513.0,20928.0,15047.0,29763.0,9262.0,916.0,5160.0,22515.0,17076.0,32643.0,10432.0,997.0,5352.0,23132.0,16812.0,32785.0,10624.0,1044.0,5245.0,19166.0,18088.0,32596.0,11848.0,1281.0,4318.0,19097.0,13257.0,17015.0
