,23,24,25,26,27,28,29
34 ST-HERALD SQ,25176.0,25176.0,25176.0,25176.0,25176.0,25176.0,25176.0
34 ST-PENN STA,20202.0,20202.0,20202.0,20202.0,20202.0,20202.0,20202.0
TIMES SQ-42 ST,20062.0,20062.0,20062.0,20062.0,20062.0,20062.0,20062.0
FLUSHING-MAIN,15778.0,15778.0,15778.0,15778.0,15778.0,15778.0,15778.0
59 ST,14402.0,14402.0,14402.0,14402.0,14402.0,14402.0,14402.0
42 ST-PORT AUTH,14115.0,14115.0,14115.0,14115.0,14115.0,14115.0,14115.0
59 ST COLUMBUS,13942.0,13942.0,13942.0,13942.0,13942.0,13942.0,13942.0
86 ST,13641.0,13641.0,13641.0,13641.0,13641.0,13641.0,13641.0
GRD CNTRL-42 ST,13410.0,13410.0,13410.0,13410.0,13410.0,13410.0,13410.0
JKSN HT-ROOSVLT,13341.0,13341.0,13341.0,13341.0,13341.0,13341.0,13341.0
CHAMBERS ST,11537.0,11537.0,11537.0,11537.0,11537.0,11537.0,11537.0
145 ST,9170.0,9170.0,9170.0,9170.0,9170.0,9170.0,9170.0
23 ST,9163.0,9163.0,9163.0,9163.0,9163.0,9163.0,9163.0
ATL AV-BARCLAY,8912.0,8912.0,8912.0,8912.0,8912.0,8912.0,8912.0
125 ST,8546.0,8546.0,8546.0,8546.0,8546.0,8546.0,8546.0
14 ST,8407.0,8407.0,8407.0,8407.0,8407.0,8407.0,8407.0
47-50 STS ROCK,8247.0,8247.0,8247.0,8247.0,8247.0,8247.0,8247.0
GRAND ST,8200.0,8200.0,8200.0,8200.0,8200.0,8200.0,8200.0
CHURCH AV,8130.0,8130.0,8130.0,8130.0,8130.0,8130.0,8130.0
57 ST-7 AV,7781.0,7781.0,7781.0,7781.0,7781.0,7781.0,7781.0
LEXINGTON AV/63,7583.0,7583.0,7583.0,7583.0,7583.0,7583.0,7583.0
QUEENSBORO PLZ,7242.0,7242.0,7242.0,7242.0,7242.0,7242.0,7242.0
NOSTRAND AV,7084.0,7084.0,7084.0,7084.0,7084.0,7084.0,7084.0
JUNCTION BLVD,6949.0,6949.0,6949.0,6949.0,6949.0,6949.0,6949.0
42 ST-BRYANT PK,6192.0,6192.0,6192.0,6192.0,6192.0,6192.0,6192.0
50 ST,6164.0,6164.0,6164.0,6164.0,6164.0,6164.0,6164.0
MYRTLE-WYCKOFF,6145.0,6145.0,6145.0,6145.0,6145.0,6145.0,6145.0
CROWN HTS-UTICA,5818.0,5818.0,5818.0,5818.0,5818.0,5818.0,5818.0
DEKALB AV,5721.0,5721.0,5721.0,5721.0,5721.0,5721.0,5721.0
34 ST-HUDSON YD,5469.0,5469.0,5469.0,5469.0,5469.0,5469.0,5469.0
STEINWAY ST,5170.0,5170.0,5170.0,5170.0,5170.0,5170.0,5170.0
BOWLING GREEN,5111.0,5111.0,5111.0,5111.0,5111.0,5111.0,5111.0
COURT SQ,5099.0,5099.0,5099.0,5099.0,5099.0,5099.0,5099.0
BEDFORD AV,5061.0,5061.0,5061.0,5061.0,5061.0,5061.0,5061.0
JAMAICA CENTER,5061.0,5061.0,5061.0,5061.0,5061.0,5061.0,5061.0
BOROUGH HALL,4916.0,4916.0,4916.0,4916.0,4916.0,4916.0,4916.0
GRAND-NEWTOWN,4755.0,4755.0,4755.0,4755.0,4755.0,4755.0,4755.0
JAY ST-METROTEC,4581.0,4581.0,4581.0,4581.0,4581.0,4581.0,4581.0
51 ST,4412.0,4412.0,4412.0,4412.0,4412.0,4412.0,4412.0
3 AV-149 ST,4321.0,4321.0,4321.0,4321.0,4321.0,4321.0,4321.0
2 AV,4305.0,4305.0,4305.0,4305.0,4305.0,4305.0,4305.0
FORDHAM RD,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0,4076.0
167 ST,4018.0,4018.0,4018.0,4018.0,4018.0,4018.0,4018.0
21 ST-QNSBRIDGE,3901.0,3901.0,3901.0,3901.0,3901.0,3901.0,3901.0
103 ST-CORONA,3843.0,3843.0,3843.0,3843.0,3843.0,3843.0,3843.0
KINGS HWY,3745.0,3745.0,3745.0,3745.0,3745.0,3745.0,3745.0
1 AV,3659.0,3659.0,3659.0,3659.0,3659.0,3659.0,3659.0
SPRING ST,3616.0,3616.0,3616.0,3616.0,3616.0,3616.0,3616.0
181 ST,3498.0,3498.0,3498.0,3498.0,3498.0,3498.0,3498.0
EAST BROADWAY,3495.0,3495.0,3495.0,3495.0,3495.0,3495.0,3495.0
CANAL ST,3458.0,3458.0,3458.0,3458.0,3458.0,3458.0,3458.0
ELMHURST AV,3339.0,3339.0,3339.0,3339.0,3339.0,3339.0,3339.0
168 ST,3335.0,3335.0,3335.0,3335.0,3335.0,3335.0,3335.0
VERNON-JACKSON,3167.0,3167.0,3167.0,3167.0,3167.0,3167.0,3167.0
PRINCE ST,3134.0,3134.0,3134.0,3134.0,3134.0,3134.0,3134.0
28 ST,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0
82 ST-JACKSON H,3085.0,3085.0,3085.0,3085.0,3085.0,3085.0,3085.0
FRANKLIN AV,3054.0,3054.0,3054.0,3054.0,3054.0,3054.0,3054.0
JAMAICA 179 ST,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0,3012.0
63 DR-REGO PARK,2972.0,2972.0,2972.0,2972.0,2972.0,2972.0,2972.0
90 ST-ELMHURST,2962.0,2962.0,2962.0,2962.0,2962.0,2962.0,2962.0
149/GRAND CONC,2929.0,2929.0,2929.0,2929.0,2929.0,2929.0,2929.0
HIGH ST,2867.0,2867.0,2867.0,2867.0,2867.0,2867.0,2867.0
175 ST,2848.0,2848.0,2848.0,2848.0,2848.0,2848.0,2848.0
53 ST,2832.0,2832.0,2832.0,2832.0,2832.0,2832.0,2832.0
111 ST,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0
WALL ST,2789.0,2789.0,2789.0,2789.0,2789.0,2789.0,2789.0
110 ST,2774.0,2774.0,2774.0,2774.0,2774.0,2774.0,2774.0
