,StationName,Latitude,Longitude,2018-08-11 00:00:00,2018-08-11 04:00:00,2018-08-11 08:00:00,2018-08-11 12:00:00,2018-08-11 16:00:00,2018-08-11 20:00:00,2018-08-12 00:00:00,2018-08-12 04:00:00,2018-08-12 08:00:00,2018-08-12 12:00:00,2018-08-12 16:00:00,2018-08-12 20:00:00,2018-08-13 00:00:00,2018-08-13 04:00:00,2018-08-13 08:00:00,2018-08-13 12:00:00,2018-08-13 16:00:00,2018-08-13 20:00:00,2018-08-14 00:00:00,2018-08-14 04:00:00,2018-08-14 08:00:00,2018-08-14 12:00:00,2018-08-14 16:00:00,2018-08-14 20:00:00,2018-08-15 00:00:00,2018-08-15 04:00:00,2018-08-15 08:00:00,2018-08-15 12:00:00,2018-08-15 16:00:00,2018-08-15 20:00:00,2018-08-16 00:00:00,2018-08-16 04:00:00,2018-08-16 08:00:00,2018-08-16 12:00:00,2018-08-16 16:00:00,2018-08-16 20:00:00,2018-08-17 00:00:00,2018-08-17 04:00:00,2018-08-17 08:00:00,2018-08-17 12:00:00,2018-08-17 16:00:00
0,34 ST-HERALD SQ,40.748897899999996,-73.98878859999998,5702.0,4877.0,18393.0,31571.0,35746.0,19896.0,4176.0,3531.0,16409.0,29275.0,32724.0,17470.0,2124.0,17173069.0,60210.0,40238.0,82837.0,24048.0,2394.0,17194.0,63673.0,46573.0,87106.0,26114.0,2653.0,17607.0,63821.0,46074.0,88709.0,29690.0,2952.0,17317.0,63605.0,46917.0,87420.0,28985.0,3600.0,16053.0,56778.0,53452.0,77344.0
1,TIMES SQ-42 ST,40.7545563,-73.98667370000001,7657.0,4570.0,14990.0,27308.0,34308.0,25443.0,6666.0,3452.0,14882.0,29667.0,32335.0,21112.0,4028.0,13501.0,45789.0,30740.0,62743.0,23466.0,4249.0,13731.0,49374.0,35267.0,69369.0,27809.0,4452.0,13903.0,50950.0,38151.0,69696.0,29794.0,4978.0,13674.0,49614.0,32697.0,60439.0,30351.0,5230.0,12527.0,44621.0,41727.0,60041.0
2,34 ST-PENN STA,40.751056,-73.99031020000001,3647.0,5492.0,18244.0,25666.0,26786.0,14870.0,3120.0,3509.0,16212.0,21900.0,23658.0,14857.0,1953.0,24650.0,60497.0,34979.0,73779.0,17072.0,1984.0,25124.0,47584.0,30855.0,76403.0,18904.0,2070.0,24002.0,59641.0,38219.0,69299.0,21040.0,2535.0,24306.0,58944.0,38571.0,76502.0,21540.0,2550.0,21418.0,51568.0,46818.0,66090.0
3,59 ST COLUMBUS,40.7684839,-73.98180699999999,2660.0,3078.0,10666.0,18238.0,18623.0,9932.0,2306.0,2298.0,10725.0,19210.0,21181.0,9645.0,1419.0,8771.0,27317.0,22617.0,36457.0,12221.0,1615.0,9642.0,29704.0,26499.0,38863.0,13706.0,1746.0,9403.0,30562.0,27283.0,41042.0,14968.0,1849.0,9283.0,30189.0,27455.0,39655.0,14444.0,2144.0,8476.0,26165.0,27813.0,34127.0
4,86 ST,40.7795016,-73.95557240000001,1493.0,3346.0,10271.0,17454.0,17375.0,7452.0,1310.0,2075.0,8644.0,14738.0,13565.0,5710.0,763.0,9569.0,24551.0,20156.0,29876.0,8389.0,820.0,10118.0,24525.0,20515.0,30606.0,9783.0,951.0,10320.0,24279.0,20422.0,31102.0,10025.0,1052.0,10084.0,23794.0,20125.0,28360.0,9529.0,1068.0,9285.0,22437.0,21748.0,28052.0
5,GRD CNTRL-42 ST,40.75216470000001,-73.97715339999998,2495.0,2962.0,11525.0,17311.0,16992.0,8226.0,1817.0,1589.0,9281.0,14954.0,16059.0,8408.0,965.0,13802.0,39966.0,23841.0,46080.0,11097.0,1575.0,14324.0,40012.0,25051.0,49114.0,11721.0,1616.0,14477.0,40312.0,24863.0,47359.0,12843.0,1690.0,13791.0,39717.0,25467.0,48651.0,13013.0,1881.0,12796.0,35479.0,29915.0,42181.0
6,59 ST,40.6415685,-74.0176783,969.0,4197.0,9863.0,15481.0,14917.0,7618.0,1562.0,2596.0,9065.0,14324.0,14185.0,6511.0,1138.0,11262.0,29869.0,20557.0,37316.0,9974.0,1489.0,12292.0,31524.0,23827.0,38596.0,4973.0,710.0,11937.0,31632.0,23458.0,39709.0,11862.0,1622.0,7344.0,31320.0,12025.0,38479.0,11452.0,1653.0,10998.0,28337.0,25138.0,33718.0
7,FLUSHING-MAIN,40.75955820000001,-73.82992209999998,2371.0,5895.0,13406.0,15071.0,16326.0,10474.0,2095.0,3463.0,12344.0,15071.0,15230.0,9592.0,1332.0,15045.0,22088.0,16065.0,27159.0,12167.0,1531.0,15503.0,23751.0,17898.0,26695.0,13019.0,1657.0,15535.0,23754.0,17576.0,28777.0,13292.0,1934.0,15333.0,22798.0,16679.0,28141.0,13396.0,1773.0,14507.0,22839.0,17646.0,27613.0
8,ATL AV-BARCLAY,40.6837598,-73.97875739999998,1937.0,1916.0,6446.0,12272.0,12876.0,7057.0,1550.0,1406.0,6100.0,11860.0,12028.0,5900.0,829.0,7550.0,18161.0,12953.0,24483.0,7400.0,912.0,7955.0,18965.0,14826.0,25696.0,7956.0,996.0,7617.0,19198.0,14325.0,25768.0,8888.0,1170.0,7455.0,18649.0,14648.0,25749.0,9065.0,1362.0,6587.0,17110.0,16790.0,24188.0
9,23 ST,40.7413626,-73.9891335,1452.0,1247.0,5262.0,8948.0,9423.0,4847.0,1096.0,881.0,4185.0,8219.0,8227.0,4226.0,584.0,4758.0,20785.0,14798.0,29788.0,8283.0,733.0,4840.0,21168.0,17360.0,30313.0,9292.0,873.0,5029.0,21245.0,16947.0,31243.0,9869.0,890.0,5035.0,21325.0,17759.0,32055.0,10520.0,985.0,4379.0,19171.0,19924.0,26298.0
