,StationName,Latitude,Longitude,2018-04-07 00:00:00,2018-04-07 04:00:00,2018-04-07 08:00:00,2018-04-07 12:00:00,2018-04-07 16:00:00,2018-04-07 20:00:00,2018-04-08 00:00:00,2018-04-08 04:00:00,2018-04-08 08:00:00,2018-04-08 12:00:00,2018-04-08 16:00:00,2018-04-08 20:00:00,2018-04-09 00:00:00,2018-04-09 04:00:00,2018-04-09 08:00:00,2018-04-09 12:00:00,2018-04-09 16:00:00,2018-04-09 20:00:00,2018-04-10 00:00:00,2018-04-10 04:00:00,2018-04-10 08:00:00,2018-04-10 12:00:00,2018-04-10 16:00:00,2018-04-10 20:00:00,2018-04-11 00:00:00,2018-04-11 04:00:00,2018-04-11 08:00:00,2018-04-11 12:00:00,2018-04-11 16:00:00,2018-04-11 20:00:00,2018-04-12 00:00:00,2018-04-12 04:00:00,2018-04-12 08:00:00,2018-04-12 12:00:00,2018-04-12 16:00:00,2018-04-12 20:00:00,2018-04-13 00:00:00,2018-04-13 04:00:00,2018-04-13 08:00:00,2018-04-13 12:00:00,2018-04-13 16:00:00
0,34 ST-HERALD SQ,40.748897899999996,-73.98878859999998,6049.0,5478.0,23910.0,40155.0,47911.0,25517.0,5069.0,3741.0,18559.0,34267.0,37262.0,15963.0,2045.0,17169.0,60039.0,28897.0,63228.0,23515.0,2062.0,17413.0,60673.0,43097.0,83188.0,25152.0,2408.0,17450.0,61282.0,44658.0,86629.0,26542.0,2424.0,17203.0,61601.0,44577.0,84108.0,27201.0,2835.0,16274.0,56329.0,47194.0,59591.0
1,TIMES SQ-42 ST,40.7545563,-73.98667370000001,7202.0,4685.0,19254.0,33240.0,39142.0,26400.0,6505.0,3198.0,13388.0,25697.0,28818.0,16011.0,2677.0,13653.0,47381.0,31002.0,61612.0,20601.0,3168.0,13701.0,49027.0,31649.0,64786.0,25156.0,3558.0,14115.0,50902.0,36283.0,69050.0,26609.0,3915.0,14056.0,50366.0,34731.0,67686.0,28604.0,4594.0,13163.0,47604.0,37921.0,67127.0
2,34 ST-PENN STA,40.751056,-73.99031020000001,4169.0,5850.0,22537.0,35044.0,40269.0,21569.0,3602.0,3608.0,18393.0,31753.0,33552.0,14151.0,2004.0,26220.0,59639.0,36021.0,77923.0,19721.0,1924.0,26968.0,59764.0,36320.0,76627.0,13583.0,1880.0,25489.0,45665.0,37555.0,77090.0,19936.0,2026.0,25020.0,60126.0,39168.0,77307.0,21677.0,2346.0,23278.0,55216.0,42187.0,73438.0
3,59 ST COLUMBUS,40.7684839,-73.98180699999999,3068.0,2976.0,14444.0,22954.0,24672.0,12253.0,2862.0,2280.0,11901.0,20082.0,19267.0,7710.0,1146.0,10612.0,33457.0,28678.0,43999.0,15082.0,1484.0,11346.0,34804.0,30322.0,44988.0,17130.0,1835.0,10636.0,33483.0,29267.0,44344.0,16045.0,1770.0,11289.0,34932.0,31747.0,46312.0,18165.0,2088.0,10165.0,31949.0,32541.0,44200.0
4,86 ST,40.7795016,-73.95557240000001,1087.0,3168.0,12636.0,18922.0,19428.0,8567.0,1456.0,2130.0,9488.0,15581.0,13622.0,5618.0,680.0,13842.0,29499.0,24221.0,38209.0,10635.0,968.0,13814.0,31777.0,26088.0,38556.0,11621.0,1029.0,13898.0,31676.0,26189.0,39157.0,11962.0,1105.0,13954.0,31167.0,26300.0,38487.0,12496.0,1254.0,13121.0,30017.0,28289.0,36586.0
5,GRD CNTRL-42 ST,40.75216470000001,-73.97715339999998,2678.0,2947.0,12449.0,17952.0,18308.0,8544.0,2203.0,1691.0,8962.0,13572.0,13084.0,5833.0,848.0,15597.0,41951.0,23742.0,48540.0,11089.0,1560.0,16196.0,43256.0,25194.0,48510.0,12367.0,1697.0,16018.0,42951.0,26431.0,50042.0,13217.0,1779.0,15664.0,43579.0,26766.0,49635.0,13844.0,2100.0,13856.0,39866.0,28535.0,46425.0
6,59 ST,40.6415685,-74.0176783,2673.0,4351.0,13210.0,19212.0,19694.0,8854.0,2277.0,2677.0,9873.0,15300.0,14835.0,6037.0,1157.0,14022.0,32852.0,24179.0,40303.0,10957.0,1499.0,14262.0,34044.0,25625.0,42609.0,12059.0,1712.0,14531.0,34727.0,26623.0,43146.0,12346.0,1697.0,14305.0,34501.0,26536.0,41930.0,12748.0,1744.0,13448.0,32721.0,27973.0,40142.0
7,FLUSHING-MAIN,40.75955820000001,-73.82992209999998,2228.0,5684.0,14856.0,16013.0,17723.0,11085.0,1727.0,3282.0,11677.0,13996.0,14261.0,8050.0,1280.0,17355.0,23675.0,18826.0,29872.0,12604.0,1436.0,17389.0,23717.0,18191.0,29593.0,13304.0,1595.0,17503.0,23695.0,18531.0,28558.0,13941.0,1577.0,17781.0,24347.0,18334.0,26272.0,15630.0,1878.0,16643.0,24160.0,18127.0,30368.0
8,ATL AV-BARCLAY,40.6837598,-73.97875739999998,2402.0,2218.0,8140.0,15312.0,20336.0,10705.0,6370.0,1561.0,6474.0,13657.0,14948.0,5902.0,864.0,9126.0,20210.0,16127.0,32777.0,13303.0,956.0,8949.0,20946.0,16034.0,27533.0,8398.0,934.0,9261.0,20211.0,16372.0,27083.0,8731.0,1110.0,9116.0,23192.0,16456.0,27955.0,8977.0,1080.0,8049.0,19941.0,18146.0,27713.0
9,23 ST,40.7413626,-73.9891335,2430.0,1947.0,10658.0,18548.0,20064.0,9695.0,2194.0,1243.0,7589.0,14532.0,14567.0,6010.0,707.0,7884.0,35311.0,24671.0,47777.0,13414.0,910.0,8775.0,36835.0,26638.0,49746.0,15087.0,975.0,8530.0,35964.0,27051.0,48891.0,14788.0,1128.0,8818.0,33708.0,26648.0,49975.0,16158.0,1210.0,7861.0,33900.0,28621.0,45548.0
10,42 ST-PORT AUTH,40.7578346,-73.99146259999998,1915.0,4767.0,14413.0,16484.0,17603.0,11104.0,1740.0,2777.0,11020.0,13618.0,16774.0,9477.0,1017.0,21121.0,32592.0,16653.0,36798.0,11321.0,1009.0,21028.0,32718.0,17118.0,36020.0,12075.0,997.0,20433.0,32032.0,17273.0,35963.0,12397.0,1201.0,20280.0,31526.0,17381.0,34976.0,12475.0,1303.0,18785.0,28634.0,18863.0,34275.0
11,14 ST,40.73747540000001,-73.9970975,2314.0,1119.0,5855.0,10900.0,11927.0,6877.0,1898.0,910.0,4545.0,9544.0,9804.0,3915.0,670.0,4705.0,17769.0,14215.0,25321.0,8611.0,970.0,5235.0,19321.0,15584.0,26185.0,10116.0,1035.0,5166.0,19004.0,16134.0,26833.0,10560.0,1071.0,5221.0,18986.0,16154.0,26890.0,10872.0,1299.0,4790.0,18562.0,16930.0,26107.0
12,JKSN HT-ROOSVLT,40.746739,-73.89099859999999,3631.0,5324.0,13170.0,16553.0,17271.0,10312.0,3600.0,3762.0,10657.0,13898.0,13954.0,8818.0,2061.0,12865.0,20011.0,17037.0,24095.0,10830.0,2098.0,12641.0,20345.0,16779.0,23778.0,11159.0,2196.0,12774.0,20463.0,16998.0,24535.0,10939.0,2300.0,13145.0,20557.0,17184.0,24750.0,11022.0,2698.0,12668.0,20423.0,17730.0,26485.0
13,BEDFORD AV,40.717354,-73.956972,3498.0,1423.0,8438.0,17989.0,19852.0,11128.0,3603.0,977.0,6374.0,14351.0,14556.0,6125.0,791.0,4609.0,13340.0,9302.0,19488.0,7884.0,779.0,4559.0,14163.0,9296.0,19298.0,8948.0,1026.0,4658.0,14397.0,10095.0,19711.0,9458.0,1055.0,4708.0,14459.0,10239.0,19629.0,9821.0,1262.0,4419.0,14121.0,11825.0,22247.0
14,47-50 STS ROCK,40.75885,-73.98118610000002,1696.0,1956.0,6335.0,10681.0,11882.0,6783.0,1312.0,1176.0,5035.0,7575.0,8231.0,3526.0,532.0,9430.0,38513.0,18444.0,42800.0,7660.0,1233.0,10582.0,41350.0,19492.0,44465.0,9288.0,1347.0,10068.0,40694.0,20729.0,46105.0,8811.0,1428.0,10066.0,40309.0,19983.0,43222.0,9198.0,1523.0,9390.0,37540.0,21629.0,40082.0
15,34 ST-HUDSON YD,40.7549713,-74.0010084,87.0,38.0,19.0,40.0,17.0,21.0,9.0,24.0,20.0,19.0,13.0,17.0,18.0,3441.0,5270.0,4457.0,5860.0,1264.0,200.0,3459.0,5142.0,4314.0,5713.0,1359.0,237.0,3396.0,5393.0,4519.0,5862.0,1393.0,233.0,3189.0,5441.0,4872.0,5995.0,1536.0,241.0,3044.0,5450.0,5524.0,6441.0
